index,name,synonyms
1,Andaman and Nicobar Islands,Andamans
2,Andhra Pradesh,AP
3,Arunachal Pradesh,
4,Assam,Ahom
5,Bihar,
6,Chandigarh,
7,Chhattisgarh,
8,Dadra and Nagar Haveli,
9,Daman and Diu,
10,National Capital Territory of Delhi,Delhi
11,Goa,
12,Gujarat,
13,Haryana,
14,Himachal Pradesh,HP
15,Jammu and Kashmir,J&K:J and K
16,Jharkhand,
17,Karnataka,
18,Kerala,
19,Lakshadweep,
20,Madhya Pradesh,
21,Maharashtra,
22,Manipur,
23,Meghalaya,
24,Mizoram,
25,Nagaland,
26,Odisha,Orissa
27,Puducherry,Pondicherry
28,Punjab,
29,Rajasthan,
30,Sikkim,
31,Tamil Nadu,TN:Tamilnadu
32,Telangana,
33,Tripura,
34,Uttar Pradesh,UP
35,Uttarakhand,
36,West Bengal,WB
